Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price, Profit , Cost , Sales 
1/1/2011,1,January,2011,23,Youth (<25),Male,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295, $561 ," $1,252 "," $1,813 "
1/1/2011,1,January,2011,33,Young Adults (25-34),Female,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578," $1,097 "," $4,342 "," $5,439 "
1/1/2011,1,January,2011,17,Youth (<25),Male,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443, $900 ," $1,519 "," $2,419 "
1/1/2011,1,January,2011,42,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540, $185 , $344 , $529 
1/1/2011,1,January,2011,39,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 38",3,713,1120, $482 ," $2,139 "," $2,621 "
1/2/2011,2,January,2011,41,Adults (35-64),Female,Australia,Queensland,Bikes,Road Bikes,"Road-250 Red, 58",3,1555,2443," $1,491 "," $4,665 "," $6,156 "
1/2/2011,2,January,2011,35,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120, $385 , $713 ," $1,098 "
1/2/2011,2,January,2011,32,Young Adults (25-34),Male,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,713,1120, $362 , $713 ," $1,075 "
1/2/2011,2,January,2011,40,Adults (35-64),Male,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 40",4,713,1120, $687 ," $2,852 "," $3,539 "
1/3/2011,3,January,2011,38,Adults (35-64),Male,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320, $961 ," $1,266 "," $2,227 "
1/3/2011,3,January,2011,28,Young Adults (25-34),Male,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,1252,2295," $3,805 "," $5,008 "," $8,813 "
1/3/2011,3,January,2011,29,Young Adults (25-34),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320," $1,008 "," $1,266 "," $2,274 "
1/3/2011,3,January,2011,45,Adults (35-64),Female,Australia,South Australia,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540, $198 , $688 , $886 
1/3/2011,3,January,2011,47,Adults (35-64),Male,Australia,South Australia,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120, $205 , $713 , $918 
1/3/2011,3,January,2011,42,Adults (35-64),Female,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540, $83 , $344 , $427 
1/3/2011,3,January,2011,45,Adults (35-64),Male,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 44",3,344,540, $572 ," $1,032 "," $1,604 "
1/3/2011,3,January,2011,39,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-150 Red, 48",4,2171,3578," $5,342 "," $8,684 "," $14,026 "
1/4/2011,4,January,2011,28,Young Adults (25-34),Male,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",3,1252,2295," $2,854 "," $3,756 "," $6,610 "
1/4/2011,4,January,2011,33,Young Adults (25-34),Female,France,Nord,Bikes,Road Bikes,"Road-150 Red, 52",2,2171,3578," $1,884 "," $4,342 "," $6,226 "
1/4/2011,4,January,2011,36,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",2,487,783, $561 , $974 ," $1,535 "
1/4/2011,4,January,2011,39,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 38",2,713,1120, $321 ," $1,426 "," $1,747 "
1/4/2011,4,January,2011,38,Adults (35-64),Female,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578, $620 ," $2,171 "," $2,791 "
1/5/2011,5,January,2011,37,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-650 Red, 48",1,487,783, $280 , $487 , $767 
1/5/2011,5,January,2011,27,Young Adults (25-34),Male,Germany,Hessen,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701, $499 ," $1,083 "," $1,582 "
1/5/2011,5,January,2011,51,Adults (35-64),Male,Canada,British Columbia,Bikes,Road Bikes,"Road-650 Black, 60",3,487,783, $865 ," $1,461 "," $2,326 "
1/6/2011,6,January,2011,26,Young Adults (25-34),Female,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 44",3,295,540, $719 , $885 ," $1,604 "
1/6/2011,6,January,2011,35,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120, $385 , $713 ," $1,098 "
1/6/2011,6,January,2011,34,Young Adults (25-34),Male,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540, $77 , $344 , $421 
1/6/2011,6,January,2011,48,Adults (35-64),Male,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540, $381 , $688 ," $1,069 "
